Attack,Forward,Turn L, Turn R
2439,2321,2462,2778
969,3996,2510,2525
1233,4375,2010,2382
1008,6255,962,1775
404,7564,588,1444
400,6973,1018,1609
430,7628,637,1305
342,7142,1362,1154
331,7806,435,1428
509,7977,615,899
206,8664,323,807
18,8520,434,1028
3,9031,370,596
325,8502,188,985
459,7948,170,1423
199,8123,429,1249
105,8616,263,1016
5,8598,352,1045
0,9003,119,878
193,8597,203,1007
0,8801,204,995
0,8728,256,1016
296,7978,761,965
93,8021,670,1216
224,8487,207,1082
246,8173,506,1075
33,8088,882,997
442,7348,1379,831
202,7832,1258,708
511,7863,1063,563
303,7981,867,849
225,7907,1122,746
416,7372,1306,906
290,8169,838,703
108,8004,714,1174
103,8060,484,1353
6,7698,548,1748
195,7762,339,1704
4,7944,386,1666
42,7715,469,1774
158,6904,564,2374
301,7156,746,1797
209,7070,670,2051
308,7209,403,2080
306,6545,515,2634
309,5583,753,3355
0,5236,681,4083
0,5575,380,4045
106,5398,90,4406
0,5389,40,4571
99,5627,54,4220
10,5344,0,4646
1,5516,0,4483
0,5269,0,4731
0,5523,0,4477
198,5295,0,4507
95,5415,0,4490
194,5235,0,4571
0,5398,0,4602
99,5399,0,4502
4,5433,0,4563
12,5456,0,4532
89,5208,0,4703
0,5252,0,4748
7,5219,0,4774
96,5445,0,4459
95,5486,0,4419
0,5457,0,4543
0,5352,0,4648
93,5304,0,4603
198,5334,0,4468
297,5267,0,4436
0,5319,0,4681
194,5492,0,4314
95,5353,0,4552
0,5439,0,4561
0,5624,0,4376
0,5589,3,4408
0,5511,0,4489
89,5365,0,4546
0,5661,0,4339
0,5813,0,4187
0,6013,0,3987
0,5639,0,4361
0,5753,0,4247
1,5600,0,4399
96,5371,0,4533
0,5595,0,4405
0,5701,0,4299
0,5769,0,4231
95,5777,0,4128
0,5894,0,4106
196,5865,0,3939
0,5559,0,4441
0,5976,0,4024
0,5941,0,4059
2,5719,0,4279
3,5601,0,4396
7,5647,0,4346
98,5783,0,4119
