Attack,Forward,Turn L, Turn R
2519,3125,2277,2079
1609,2113,2966,3312
806,4018,2908,2268
616,5036,2718,1630
1004,5149,2171,1676
453,6218,1532,1797
706,6720,1466,1108
388,7756,960,896
600,7645,1046,709
103,7325,1627,945
505,6733,2291,471
554,7830,1312,304
311,7638,1326,725
404,7827,956,813
504,8730,489,277
112,9012,465,411
206,8894,736,164
9,9530,461,0
500,9499,0,1
305,9596,0,99
2,9998,0,0
15,9767,218,0
0,9719,281,0
0,9682,318,0
19,9601,297,83
300,9400,300,0
106,9634,260,0
268,9486,147,99
136,9493,275,96
148,9542,274,36
271,9006,334,389
374,8553,1073,0
806,8435,759,0
887,7711,1302,100
1427,7589,957,27
1206,7184,1569,41
1136,7173,1503,188
1317,6249,2248,186
1961,6128,1470,441
2764,5162,1704,370
2402,4387,3021,190
2329,4188,3185,298
2890,3544,2720,846
3493,3481,2474,552
4317,3100,2165,418
5085,2119,2392,404
5115,1014,3733,138
4768,1476,3439,317
4763,1094,4072,71
5026,937,3817,220
5045,1545,3375,35
4391,1368,4083,158
4638,1482,3661,219
4532,1734,3141,593
4332,1677,3872,119
4274,1968,3517,241
3768,2332,3642,258
3869,1975,4056,100
3596,2717,3447,240
4197,2360,3281,162
3440,2469,3937,154
3688,2272,3977,63
3372,2054,4469,105
3660,1886,4435,19
4015,2040,3836,109
3810,1820,4347,23
4225,1746,3966,63
4521,737,4735,7
4306,1771,3904,19
3901,1912,3938,249
4057,1494,4352,97
4199,1610,4148,43
4740,1281,3979,0
4980,1208,3712,100
5683,1666,2538,113
4601,1475,3878,46
5377,1484,3139,0
5499,1847,2654,0
5980,1401,2619,0
4878,2179,2846,97
5157,1294,3353,196
5295,565,4140,0
4617,2575,2648,160
5247,1800,2884,69
5556,1512,2932,0
4659,2550,2791,0
5488,620,3802,90
5557,1441,2872,130
5611,1291,2975,123
5815,1529,2619,37
4869,1592,3440,99
4995,1656,3104,245
5771,1531,2404,294
6565,518,2288,629
6694,1155,1975,176
6241,1538,2154,67
7797,372,1466,365
7943,810,1178,69
6122,2010,1583,285
6093,1469,2271,167
