Attack,Forward,Turn L, Turn R
402,1800,7798,0
541,1343,8116,0
692,1762,7544,2
1252,1187,7550,11
1869,1819,6312,0
1879,1185,6936,0
1152,861,7987,0
1284,1262,7454,0
1897,1131,6972,0
1900,1425,6675,0
1414,895,7668,23
2139,1314,6547,0
1275,837,7888,0
1468,1610,6922,0
1215,1568,7217,0
741,1338,7921,0
1489,1576,6935,0
1707,1754,6539,0
2840,930,6111,119
3016,1205,5760,19
3929,1313,4630,128
4383,1294,4212,111
4174,1046,4780,0
4000,1040,4960,0
3469,1028,5503,0
3845,829,5226,100
3460,1279,5241,20
1869,1563,6551,17
2814,1051,5966,169
3375,1189,5436,0
3886,1865,4248,1
1943,1655,6318,84
2477,1949,5377,197
1811,1625,6345,219
1222,2484,6044,250
1114,2376,6321,189
1044,2005,6777,174
929,1313,7594,164
1674,1402,6851,73
1494,1976,6456,74
1737,1392,6871,0
916,985,8006,93
1002,1486,7512,0
1206,2075,6619,100
1374,2016,6610,0
1285,1329,7167,219
1775,2527,5676,22
831,1875,7131,163
863,1943,7041,153
306,2291,7403,0
383,1993,7534,90
392,1208,8097,303
164,2350,7384,102
592,1880,7351,177
374,2443,6975,208
299,2095,7506,100
258,2070,7672,0
422,1967,7611,0
424,2149,7427,0
316,1240,8344,100
301,1623,7876,200
306,1685,7909,100
646,1797,7557,0
405,2653,6941,1
832,1450,7718,0
442,1475,8083,0
937,1901,7162,0
1061,1814,7125,0
576,2080,7344,0
826,1692,7474,8
680,2531,6771,18
224,1920,7856,0
277,1492,8231,0
516,1653,7767,64
146,1547,8302,5
479,1903,7618,0
283,2231,7485,1
384,1965,7622,29
199,1554,8237,10
127,1896,7875,102
460,2074,7372,94
120,1868,7820,192
288,1148,8049,515
212,1972,7489,327
27,1994,7882,97
0,2424,7576,0
207,2719,7074,0
36,1799,8068,97
200,1406,8293,101
145,2541,7314,0
42,2121,7837,0
100,1515,8385,0
15,1320,8665,0
118,2806,7076,0
111,1707,8182,0
106,1926,7968,0
251,1414,8335,0
157,1882,7961,0
268,1798,7934,0
223,1484,8293,0
411,1767,7822,0
333,1386,8281,0
773,2268,6959,0
402,2353,7245,0
6,1499,8495,0
225,1841,7934,0
369,1758,7873,0
102,2157,7741,0
33,2791,7135,41
135,2392,7448,25
0,1319,8574,107
103,1599,8202,96
170,1421,8409,0
221,1774,7894,111
262,1442,8199,97
209,1024,8767,0
305,842,8553,300
38,1520,8442,0
200,1977,7626,197
195,1437,8071,297
477,1701,7622,200
101,1634,8265,0
114,2542,7344,0
199,1597,8104,100
2,1971,8024,3
0,1750,8240,10
167,2094,7704,35
228,1440,8310,22
397,1701,7685,217
259,1755,7986,0
249,1431,8288,32
668,1232,8100,0
299,1832,7869,0
330,1764,7906,0
474,2001,7431,94
431,2449,7120,0
116,2470,7414,0
38,2260,7702,0
27,1884,8089,0
80,1886,7940,94
346,1522,8132,0
42,1722,8236,0
28,2492,7480,0
34,2137,7729,100
208,1598,8194,0
100,1636,8264,0
100,1668,8232,0
201,1531,8268,0
12,2275,7713,0
153,1460,8387,0
145,2226,7629,0
105,1843,8052,0
273,1661,8066,0
5,2743,7252,0
447,1755,7798,0
210,1337,8453,0
219,1570,8211,0
84,1182,8734,0
219,2036,7745,0
198,2458,7344,0
269,2357,7374,0
216,2117,7667,0
320,1830,7850,0
309,1720,7971,0
777,2367,6856,0
388,2195,7417,0
80,2206,7714,0
288,2172,7440,100
37,2007,7956,0
75,1882,8041,2
265,1887,7748,100
96,1905,7999,0
231,2301,7468,0
253,2369,7378,0
200,2284,7516,0
289,1683,8028,0
197,1915,7888,0
155,1587,8167,91
122,2264,7527,87
211,1700,7997,92
417,1588,7995,0
218,1941,7740,101
547,1575,7878,0
701,2095,7125,79
535,1521,7944,0
788,1732,7480,0
707,1379,7914,0
571,1480,7924,25
322,1661,8003,14
303,1301,8396,0
396,1413,8091,100
351,1624,8012,13
813,1438,7749,0
332,1651,7985,32
561,1995,7444,0
643,1549,7808,0
553,1409,8038,0
761,1449,7600,190
452,1062,8196,290
315,1645,7946,94
582,2261,7069,88
446,1469,7979,106
347,1569,7788,296
544,2092,7363,1
331,2105,7564,0
568,2119,7224,89
361,1668,7883,88
507,1304,8089,100
370,1956,7671,3
589,1725,7686,0
697,1331,7942,30
457,974,8423,146
313,1531,7944,212
796,1697,7259,248
669,2074,7257,0
608,1464,7928,0
677,1490,7833,0
510,1642,7848,0
877,2401,6722,0
533,2570,6892,5
761,1549,7690,0
634,1478,7888,0
732,2129,7139,0
660,1678,7562,100
901,1298,7713,88
970,1408,7622,0
1059,1280,7661,0
1177,1980,6843,0
828,1812,7360,0
405,1322,8173,100
541,1145,8314,0
902,1415,7683,0
797,2369,6834,0
884,1961,7069,86
387,1234,8200,179
128,1483,8024,365
328,2208,7278,186
520,2089,7291,100
391,2111,7498,0
378,1840,7782,0
183,1686,8131,0
49,1304,8647,0
256,2027,7717,0
156,1688,8060,96
252,1676,8039,33
151,1710,8139,0
383,1852,7673,92
271,2263,7464,2
63,1695,8106,136
163,1880,7936,21
152,2453,7380,15
202,2066,7732,0
133,1612,8255,0
278,1694,7828,200
509,1730,7661,100
335,2488,7177,0
181,1564,8255,0
85,1319,8596,0
188,2531,7281,0
360,2024,7616,0
101,2197,7702,0
148,1623,8229,0
163,2326,7508,3
105,1167,8728,0
193,1961,7846,0
79,1957,7964,0
177,1938,7885,0
333,1409,8258,0
252,1048,8507,193
377,2105,7429,89
358,2387,7071,184
135,1789,7905,171
178,1394,8060,368
422,1753,7337,488
148,1404,7856,592
547,1513,7658,282
288,1542,8082,88
534,1493,7873,100
339,2034,7438,189
250,1685,7786,279
62,1850,7810,278
162,1292,8546,0
417,1533,7856,194
287,1808,7805,100
615,1644,7535,206
130,1620,8122,128
766,1567,7667,0
442,1666,7892,0
495,2240,7265,0
362,1920,7718,0
444,2504,6964,88
544,2207,7065,184
242,2268,7209,281
466,1913,7342,279
453,1312,8123,112
172,2118,7507,203
308,1937,7741,14
231,2045,7450,274
151,1933,7916,0
533,1269,8100,98
571,1695,7643,91
484,1981,7442,93
412,1423,8165,0
570,1032,8398,0
531,1765,7690,14
358,1464,8178,0
8,2094,7799,99
0,1658,8342,0
16,2409,7575,0
100,1500,8296,104
136,2049,7815,0
0,2749,7251,0
4,2091,7905,0
9,1890,8101,0
100,1619,8281,0
200,1882,7918,0
200,1313,8487,0
531,1496,7882,91
144,1533,8230,93
108,1819,7889,184
103,1785,8112,0
11,2199,7690,100
465,2472,6904,159
114,1968,7563,355
5,1640,8254,101
221,1879,7699,201
107,1658,7921,314
110,2330,7465,95
116,2190,7694,0
337,2281,7101,281
188,1621,8094,97
469,2105,7230,196
327,2019,7470,184
354,1966,7590,90
109,1772,7919,200
200,1853,7840,107
301,2263,7436,0
100,1795,8105,0
372,2210,7319,99
167,1712,8012,109
32,2193,7643,132
27,2531,7309,133
220,2224,7523,33
70,2186,7744,0
137,1414,8351,98
68,2248,7594,90
239,1379,8295,87
287,1673,7724,316
299,1373,8128,200
269,2131,7279,321
270,962,8768,0
223,1946,7166,665
146,2394,6994,466
162,1651,8154,33
372,1650,7978,0
393,1580,7893,134
451,1728,7721,100
67,1606,8327,0
313,2450,7125,112
150,1902,7948,0
231,1174,8493,102
26,1718,8256,0
0,1744,8256,0
2,1938,7970,90
48,1438,8514,0
193,1806,7973,28
219,1993,7699,89
0,2316,7509,175
100,1699,8201,0
297,2609,7094,0
1,2655,7344,0
400,1911,7689,0
100,2012,7685,203
76,2059,7865,0
190,2537,7177,96
421,2482,7008,89
34,1728,8140,98
224,2034,7653,89
100,1926,7945,29
0,2407,7505,88
100,2225,7487,188
2,1510,8394,94
64,1308,8434,194
275,1708,7926,91
211,2052,7737,0
54,1724,8222,0
152,1632,8130,86
222,1794,7643,341
100,2099,7182,619
0,1937,7616,447
0,1744,7264,992
0,2183,6746,1071
199,1517,7821,463
0,2117,7710,173
200,2485,6885,430
104,1781,7478,637
301,2109,7223,367
0,1893,7572,535
200,1929,7691,180
0,2223,7505,272
0,2048,7503,449
3,1741,7448,808
34,1705,6994,1267
100,1314,7485,1101
126,1777,7644,453
33,1994,7464,509
99,1116,8138,647
0,1645,7720,635
0,1477,7894,629
129,1649,7774,448
190,1078,8366,366
247,1687,7788,278
341,1585,7628,446
293,1716,7364,627
198,1459,7887,456
312,1505,7801,382
528,1628,7477,367
301,2027,7053,619
778,2083,6591,548
415,2420,6179,986
251,2791,6355,603
55,2036,7013,896
100,1041,8305,554
136,1418,8273,173
167,1180,8188,465
357,2080,7101,462
88,1519,8006,387
183,1460,8174,183
312,1745,7477,466
376,2052,7034,538
390,1564,7868,178
234,2116,7475,175
328,2373,7214,85
388,1418,8099,95
454,1568,7711,267
355,2675,6874,96
112,2392,7199,297
97,1777,8028,98
23,1272,8418,287
107,1898,7639,356
124,1669,8034,173
215,1469,8036,280
100,888,8636,376
0,1478,8430,92
100,2186,7414,300
211,1986,7709,94
115,1746,8014,125
174,3461,6359,6
204,3029,6743,24
0,2007,7779,214
100,2043,7665,192
0,2006,7666,328
200,1995,7597,208
0,2271,7729,0
100,1555,8345,0
100,1653,8050,197
100,1690,7996,214
200,1605,8095,100
224,1793,7956,27
131,1739,8025,105
99,1862,7846,193
198,1627,8075,100
333,1970,7404,293
112,1880,7717,291
0,1771,7445,784
100,1676,7844,380
0,1403,8220,377
100,1438,7887,575
100,2204,7608,88
300,1904,7419,377
209,1968,6693,1130
201,1638,7313,848
108,1276,8154,462
131,1411,8171,287
196,1341,8371,92
100,1872,7762,266
134,2072,7600,194
125,1518,8357,0
291,1508,8201,0
111,1473,8316,100
101,2213,7576,110
216,1572,8212,0
55,2809,6958,178
16,2988,6910,86
93,1885,7835,187
27,1937,7763,273
127,1905,7794,174
214,1336,8090,360
16,2298,7168,518
236,1173,8027,564
105,1903,7509,483
377,2274,6955,394
220,1784,7887,109
695,1570,7647,88
