Fitness,X,Y,Rotation,relX,relY
1773.0,627,486,176.7559414948753,0.0,0.0,
1979.0,467,706,173.93149082654713,0.0,0.0,
1572.0,999,999,55.04119361664476,0.0,0.0,
97.0,999,999,13.45896846670064,0.0,0.0,
1876.0,682,861,81.76155650065743,0.0,0.0,
2034.0,759,477,114.34967438723424,0.0,0.0,
1815.0,861,488,7.015464649260252,0.0,0.0,
458.0,1,999,152.42458923587958,0.0,0.0,
1056.0,403,928,162.3890413477818,0.0,0.0,
718.0,56,765,96.27008559340186,0.0,0.0,
1909.0,625,585,70.89117562650807,0.0,0.0,
1485.0,502,231,276.13531072698555,0.0,0.0,
1642.0,355,185,107.98019202331932,0.0,0.0,
586.0,323,157,126.09720251134036,0.0,0.0,
0.0,626,484,336.3455227099143,0.0,0.0,
2471.0,465,700,335.5079048689838,0.0,0.0,
1983.0,619,754,168.7668995399756,0.0,0.0,
755.0,1,999,157.07739504635128,0.0,0.0,
1030.0,766,5,67.73819082458454,0.0,0.0,
1815.0,730,259,271.5389689005856,0.0,0.0,
1556.0,736,577,77.0809764591084,0.0,0.0,
1805.0,510,133,117.96594062162171,0.0,0.0,
887.0,999,331,274.23797184823997,0.0,0.0,
1489.0,971,934,171.539909102891,0.0,0.0,
1610.0,322,523,317.7860133053638,0.0,0.0,
1426.0,451,425,83.67288900913354,0.0,0.0,
1976.0,305,599,12.593925510343183,0.0,0.0,
1176.0,343,89,76.29525799050418,0.0,0.0,
673.0,65,381,151.38412080334365,0.0,0.0,
2080.0,834,199,290.46389397459865,0.0,0.0,
1824.0,261,590,4.091384517639938,0.0,0.0,
1316.0,419,759,256.8661238286125,0.0,0.0,
1611.0,193,730,354.2775237886949,0.0,0.0,
1592.0,541,373,1.1212278849540667,0.0,0.0,
902.0,903,800,162.12671406740992,0.0,0.0,
1716.0,719,572,182.11568285872596,0.0,0.0,
0.0,367,974,19.435087822651553,0.0,0.0,
1149.0,955,187,104.1550522558793,0.0,0.0,
2724.0,735,303,316.94408817434214,0.0,0.0,
2175.0,105,748,324.48739713103254,0.0,0.0,
2423.0,489,697,334.64269322154905,0.0,0.0,
1645.0,445,888,357.4076240588578,0.0,0.0,
0.0,995,922,-35.717980605151865,0.0,0.0,
1510.0,115,653,78.80075823973925,0.0,0.0,
2098.0,319,651,171.71492636663663,0.0,0.0,
572.0,565,909,231.6671789946314,0.0,0.0,
1489.0,653,793,5.267099651005822,0.0,0.0,
2242.0,838,195,296.4858073520904,0.0,0.0,
0.0,885,671,7.568980820890943,0.0,0.0,
1895.0,939,769,45.16850495055246,0.0,0.0,
2463.0,57,415,17.739528058415658,0.0,0.0,
1880.0,783,289,104.74205257842414,0.0,0.0,
1822.0,853,659,22.320320050915825,0.0,0.0,
0.0,816,337,-277.0925810747289,0.0,0.0,
0.0,429,996,155.0397661559026,0.0,0.0,
1718.0,699,535,225.22817032404066,0.0,0.0,
2491.0,301,248,21.77114705243696,0.0,0.0,
2835.0,230,983,305.3540055771792,0.0,0.0,
1176.0,289,729,86.71435360325688,0.0,0.0,
1177.0,933,225,83.15530857776469,0.0,0.0,
1982.0,599,730,163.9734971282246,0.0,0.0,
2629.0,1,999,133.39242170871802,0.0,0.0,
2800.0,570,659,301.1093673048786,0.0,0.0,
2650.0,671,105,121.72063849811718,0.0,0.0,
1124.0,237,60,21.32595538888711,0.0,0.0,
0.0,798,480,-119.63411680466328,0.0,0.0,
1856.0,346,491,254.25603288154252,0.0,0.0,
1824.0,561,305,114.1708263316682,0.0,0.0,
1721.0,59,482,163.2871405730058,0.0,0.0,
2605.0,471,651,133.42476186158183,0.0,0.0,
1803.0,520,813,60.15804306880466,0.0,0.0,
1184.0,1,1,230.7015277651567,0.0,0.0,
1498.0,937,312,18.088558000441367,0.0,0.0,
2545.0,9,64,28.66005036411167,0.0,0.0,
2202.0,979,767,207.79371397274338,0.0,0.0,
342.0,37,271,235.8474273700715,0.0,0.0,
0.0,343,641,108.94583417300385,0.0,0.0,
271.0,1,1,196.31985985143,0.0,0.0,
2474.0,773,487,329.75168680414265,0.0,0.0,
2018.0,1,1,218.66603003527848,0.0,0.0,
813.0,983,85,87.48607836961304,0.0,0.0,
0.0,921,45,224.9210693147201,0.0,0.0,
0.0,604,453,190.6256265319231,0.0,0.0,
885.0,855,391,115.04189254339371,0.0,0.0,
1138.0,283,429,119.59229743269742,0.0,0.0,
1605.0,589,292,138.30386416374114,0.0,0.0,
1766.0,220,366,39.53682197896728,0.0,0.0,
1668.0,75,412,157.85098961762048,0.0,0.0,
2567.0,373,402,29.77988124948962,0.0,0.0,
1808.0,755,699,261.46635631313734,0.0,0.0,
1228.0,570,292,39.95301448550424,0.0,0.0,
1475.0,521,45,58.723366581767664,0.0,0.0,
2485.0,119,174,212.21712860701155,0.0,0.0,
1381.0,76,937,107.86012219397844,0.0,0.0,
1496.0,423,181,178.96411632801755,0.0,0.0,
920.0,585,913,18.96178091362276,0.0,0.0,
0.0,863,614,48.65425708297164,0.0,0.0,
1679.0,754,661,94.03464678905328,0.0,0.0,
1359.0,161,129,98.62429531930735,0.0,0.0,
783.0,1,1,241.07955383144633,0.0,0.0,
