Fitness,X,Y,Rotation,relX,relY
1021.0,597,849,35.58335980954553,1000000.0,1000000.0,
168.0,1,1,217.34747191421343,1000000.0,1000000.0,
2662.0,681,471,23.340863527338,1000000.0,1000000.0,
0.0,526,561,11.252296570646774,303.0,-66.0,
0.0,864,698,239.08408944361676,1000000.0,1000000.0,
0.0,278,502,-25.201105553486684,1000000.0,1000000.0,
2359.0,995,703,211.76361106613564,1000000.0,1000000.0,
0.0,63,317,300.55257572809035,1000000.0,1000000.0,
0.0,194,506,302.7537854237463,1000000.0,1000000.0,
0.0,289,415,237.68336929730054,1000000.0,1000000.0,
0.0,408,333,343.36118242908873,1000000.0,1000000.0,
7018.0,512,316,208.51492515009357,1000000.0,1000000.0,
1245.0,522,541,95.10048360858804,1000000.0,1000000.0,
0.0,146,64,-340.85990659287864,1000000.0,1000000.0,
0.0,854,123,-108.22064952996072,1000000.0,1000000.0,
0.0,8,637,-317.24774258214075,1000000.0,1000000.0,
2262.0,585,811,243.93269510158598,1000000.0,1000000.0,
0.0,108,191,-216.46611635618808,1000000.0,1000000.0,
0.0,891,998,50.599507380205836,1000000.0,1000000.0,
0.0,131,304,144.27445645496195,1000000.0,1000000.0,
1715.0,549,543,279.823365567728,1000000.0,1000000.0,
0.0,316,657,17.624250695567525,598.0,-52.0,
0.0,765,619,-124.37754868387509,1000000.0,1000000.0,
0.0,825,583,297.9453266914694,1000000.0,1000000.0,
0.0,437,665,131.155310949227,1000000.0,1000000.0,
902.0,667,933,170.67407123632722,1000000.0,1000000.0,
2618.0,277,287,266.3109999292516,1000000.0,1000000.0,
0.0,310,290,15.572017437272603,1000000.0,1000000.0,
1593.0,979,760,183.50444654569776,1000000.0,1000000.0,
2691.0,981,693,30.92959618059581,1000000.0,1000000.0,
0.0,591,67,307.526548044132,1000000.0,1000000.0,
0.0,978,585,86.06811463870139,1000000.0,1000000.0,
0.0,816,901,352.1733822288038,98.0,6.0,
126.0,56,314,242.7080604152822,1000000.0,1000000.0,
962.0,291,310,199.7929005017574,1000000.0,1000000.0,
0.0,871,353,87.4696834937705,1000000.0,1000000.0,
