Fitness,X,Y,Rotation,relX,relY
2072.0,908,951,236.09462944527763,0.0,0.0,
788.0,447,67,16.25091312649829,0.0,0.0,
1840.0,529,542,26.734741015130112,0.0,0.0,
1622.0,529,715,356.0366601007231,0.0,0.0,
2154.0,607,346,135.5663129859999,0.0,0.0,
1808.0,668,833,65.70081579219942,0.0,0.0,
833.0,73,243,240.55415739218768,0.0,0.0,
1673.0,660,103,248.0862733430841,0.0,0.0,
1885.0,779,103,273.8642599883845,0.0,0.0,
1983.0,732,426,308.08534655402,0.0,0.0,
1750.0,675,647,194.8986900906133,0.0,0.0,
1095.0,763,188,201.22983175443795,0.0,0.0,
0.0,389,270,291.483100214882,0.0,0.0,
2152.0,498,51,304.54697565801615,0.0,0.0,
1179.0,900,628,39.16694261421338,0.0,0.0,
1799.0,352,623,260.8556464247623,0.0,0.0,
1642.0,21,92,355.4587617038171,0.0,0.0,
1441.0,577,765,218.51800760895583,0.0,0.0,
1993.0,565,411,268.38866240391087,0.0,0.0,
1411.0,412,721,69.83618305986187,0.0,0.0,
1233.0,831,169,168.71332199374183,0.0,0.0,
697.0,999,999,37.97226530043122,0.0,0.0,
0.0,54,664,115.60068926586982,0.0,0.0,
1306.0,999,999,32.22330232923741,0.0,0.0,
1829.0,977,987,34.60286051938175,0.0,0.0,
1587.0,531,436,167.21365455817227,0.0,0.0,
1868.0,881,747,7.524723658303685,0.0,0.0,
925.0,999,999,62.25899457183914,0.0,0.0,
888.0,1,131,242.4443812567976,0.0,0.0,
1271.0,813,923,215.54198754714093,0.0,0.0,
925.0,271,385,131.12891457243438,0.0,0.0,
0.0,406,369,42.8484275154861,0.0,0.0,
1359.0,567,910,180.27562338255518,0.0,0.0,
2011.0,139,222,166.0943669951904,0.0,0.0,
0.0,911,370,-303.56420730985155,0.0,0.0,
726.0,133,812,197.26042857930838,0.0,0.0,
1122.0,1,999,144.05759397313773,0.0,0.0,
0.0,470,384,64.80350597428838,0.0,0.0,
1725.0,173,319,17.049967023484328,0.0,0.0,
1539.0,192,293,74.99900659671022,0.0,0.0,
2055.0,306,145,68.87245946449423,0.0,0.0,
1856.0,394,361,129.141426446918,0.0,0.0,
1553.0,554,503,253.6215353489468,0.0,0.0,
1700.0,1,94,15.894132941213911,0.0,0.0,
1690.0,109,92,19.640140987366635,0.0,0.0,
1721.0,647,323,258.55700420921687,0.0,0.0,
1821.0,795,455,186.28303170126435,0.0,0.0,
1952.0,343,366,44.79566437060919,0.0,0.0,
2074.0,657,317,61.73767787702866,0.0,0.0,
1437.0,155,227,186.50542368908611,0.0,0.0,
1431.0,887,445,204.83276312516477,0.0,0.0,
893.0,689,289,236.90963168025934,0.0,0.0,
1277.0,168,343,293.39847729105065,0.0,0.0,
975.0,517,787,36.16406074710193,0.0,0.0,
2437.0,877,713,28.915199411481183,0.0,0.0,
1325.0,969,106,2.113718981132365,0.0,0.0,
2174.0,919,828,196.76363532660554,0.0,0.0,
1194.0,767,162,184.22115594460058,0.0,0.0,
2199.0,778,571,233.6576037606792,0.0,0.0,
2184.0,605,320,338.36171789577486,0.0,0.0,
2387.0,540,486,311.86879965412163,0.0,0.0,
1884.0,117,309,337.75944844022683,0.0,0.0,
1503.0,156,135,234.21938077003665,0.0,0.0,
1443.0,847,729,203.4226344951149,0.0,0.0,
2181.0,320,897,116.18307236637236,0.0,0.0,
1746.0,348,825,140.38637222173952,0.0,0.0,
1794.0,489,298,1.389941351451455,0.0,0.0,
1550.0,487,207,267.69926381952945,0.0,0.0,
2703.0,651,351,235.83603569928823,0.0,0.0,
1534.0,1,999,124.00284035214861,0.0,0.0,
1340.0,19,179,270.40208386786065,0.0,0.0,
1054.0,865,789,87.64434457324222,0.0,0.0,
1635.0,227,522,205.0795372110598,0.0,0.0,
1465.0,762,105,98.07430842223033,0.0,0.0,
2583.0,67,869,115.51586207682237,0.0,0.0,
1264.0,879,379,36.60649453779507,0.0,0.0,
2286.0,1,1,218.429412355019,0.0,0.0,
2069.0,3,656,188.416948836684,0.0,0.0,
230.0,1,999,126.79883797211733,0.0,0.0,
1574.0,899,360,165.5887467191319,0.0,0.0,
1404.0,675,376,44.99033524502829,0.0,0.0,
1695.0,471,619,198.85842684257204,0.0,0.0,
1576.0,60,19,275.3499077892667,0.0,0.0,
1736.0,159,813,104.51393466979732,0.0,0.0,
1408.0,571,77,239.82614379665358,0.0,0.0,
2209.0,773,295,259.1653397353861,0.0,0.0,
1535.0,865,734,338.19109919566915,0.0,0.0,
2458.0,1,999,296.6739055201666,0.0,0.0,
1611.0,889,453,8.810388326189013,0.0,0.0,
1241.0,717,104,2.1376280752234607,0.0,0.0,
2222.0,777,479,328.2773551155431,0.0,0.0,
1691.0,523,373,90.74826084215482,0.0,0.0,
1237.0,963,240,317.55545460739313,0.0,0.0,
93.0,1,999,138.18084361802937,0.0,0.0,
1342.0,647,479,165.48574083709104,0.0,0.0,
1051.0,957,861,10.790166459354282,0.0,0.0,
1660.0,239,436,197.66103680370395,0.0,0.0,
813.0,1,1,200.93130113525677,0.0,0.0,
1347.0,425,908,2.9333671767705027,0.0,0.0,
2555.0,901,649,36.332609936790845,0.0,0.0,
