Fitness,X,Y,Rotation,relX,relY
0.0,395,41,81.5179116155143,0.0,0.0,
0.0,754,435,-103.3593442048558,0.0,0.0,
2381.0,241,267,287.62674778671317,0.0,0.0,
1093.0,625,222,335.88284846013164,0.0,0.0,
1943.0,737,689,59.908957205966544,0.0,0.0,
1275.0,234,477,87.93336094536994,0.0,0.0,
0.0,39,91,-85.66420958926142,0.0,0.0,
1924.0,457,499,348.0783108138396,0.0,0.0,
0.0,167,75,171.60435888259914,0.0,0.0,
1928.0,957,715,48.70337742380468,0.0,0.0,
2514.0,100,995,304.8128831350414,0.0,0.0,
2398.0,649,450,332.0083667853146,0.0,0.0,
0.0,166,910,-98.88755625472999,0.0,0.0,
1064.0,1,999,137.3211438213889,0.0,0.0,
0.0,95,561,284.62890153681917,0.0,0.0,
11570.0,690,629,144.82320370459593,0.0,0.0,
1042.0,1,1,204.05460139599313,0.0,0.0,
0.0,531,698,295.115527543453,0.0,0.0,
1337.0,453,738,322.6822330077449,0.0,0.0,
1977.0,939,285,200.51019503530046,0.0,0.0,
491.0,1,999,146.31099225517232,0.0,0.0,
0.0,304,908,-248.09099418009896,0.0,0.0,
2041.0,373,511,130.68377020003572,0.0,0.0,
399.0,999,999,57.60063354889928,0.0,0.0,
1946.0,471,89,114.6148937083733,0.0,0.0,
1713.0,759,463,206.70535446984297,0.0,0.0,
1477.0,969,9,341.95127815632395,0.0,0.0,
1630.0,585,471,265.9030714345502,0.0,0.0,
1408.0,925,534,13.557158866982206,0.0,0.0,
489.0,863,707,108.81585623474956,0.0,0.0,
2392.0,641,909,61.450932265577876,0.0,0.0,
1995.0,200,755,294.3410000115379,0.0,0.0,
1272.0,963,73,115.20225466427291,0.0,0.0,
865.0,477,111,164.27735488979738,0.0,0.0,
0.0,724,777,45.610944394445525,0.0,0.0,
1404.0,937,179,291.61737267230785,0.0,0.0,
1805.0,115,333,87.24324922252782,0.0,0.0,
2024.0,823,626,179.191464058291,0.0,0.0,
0.0,629,592,44.956839804102856,0.0,0.0,
1494.0,365,991,288.1230337976175,0.0,0.0,
1073.0,774,501,133.89930637525254,0.0,0.0,
1772.0,234,913,108.3773422230422,0.0,0.0,
1755.0,172,567,248.53430667509684,0.0,0.0,
1548.0,486,985,121.05110085726528,0.0,0.0,
2332.0,549,529,340.70940752585557,0.0,0.0,
1528.0,203,519,280.2686953567193,0.0,0.0,
0.0,621,997,-306.102255355747,0.0,0.0,
1311.0,789,946,21.061878918847697,0.0,0.0,
1267.0,822,369,95.92299832592983,0.0,0.0,
1275.0,37,211,245.91464308642918,0.0,0.0,
1029.0,52,414,219.71323952639517,0.0,0.0,
1830.0,999,999,54.5661850753458,0.0,0.0,
1464.0,622,876,43.587953185671665,0.0,0.0,
707.0,4,622,143.08222610825396,0.0,0.0,
1599.0,862,291,292.2941315298186,0.0,0.0,
0.0,324,128,-69.14237981090514,0.0,0.0,
1272.0,843,214,201.09558498180638,0.0,0.0,
906.0,135,403,234.48864131293465,0.0,0.0,
1995.0,967,491,149.37628444773338,0.0,0.0,
1046.0,961,439,272.8841593344928,0.0,0.0,
1421.0,509,124,346.1989401467057,0.0,0.0,
2019.0,826,977,70.19944996094671,0.0,0.0,
1770.0,78,513,97.415352177736,0.0,0.0,
1997.0,471,378,206.10277582224114,0.0,0.0,
1366.0,561,83,250.4644367931918,0.0,0.0,
1486.0,739,137,94.23235777827517,0.0,0.0,
1001.0,256,564,52.89782328966862,0.0,0.0,
0.0,962,826,-213.8035261281231,0.0,0.0,
1657.0,685,813,50.63980431810626,0.0,0.0,
0.0,818,630,353.34918327361834,0.0,0.0,
2031.0,677,688,2.566849737325242,0.0,0.0,
1311.0,404,805,105.65920201962916,0.0,0.0,
2431.0,1,1,228.48093057017502,0.0,0.0,
2066.0,187,629,116.7523317761075,0.0,0.0,
1546.0,224,891,254.24814209241276,0.0,0.0,
1743.0,815,342,176.65273547931906,0.0,0.0,
1200.0,941,985,200.30801459327472,0.0,0.0,
1004.0,735,597,131.59986419692132,0.0,0.0,
998.0,999,999,63.65056503860592,0.0,0.0,
1803.0,709,209,17.35676953270263,0.0,0.0,
1430.0,281,109,75.71764625037372,0.0,0.0,
1234.0,63,717,193.48798606419467,0.0,0.0,
820.0,627,714,317.79828898949296,0.0,0.0,
1849.0,469,65,126.83442402092578,0.0,0.0,
2031.0,869,846,13.097070273091049,0.0,0.0,
1767.0,364,483,223.21861080524968,0.0,0.0,
1391.0,784,139,254.75742489689202,0.0,0.0,
984.0,58,333,219.4822643750892,0.0,0.0,
1226.0,656,733,90.51684666445294,0.0,0.0,
1349.0,999,999,49.180691375067454,0.0,0.0,
611.0,1,1,220.95120566570688,0.0,0.0,
1943.0,321,161,28.814460349858678,0.0,0.0,
1614.0,634,849,108.95012375498914,0.0,0.0,
1460.0,585,735,266.31608678819094,0.0,0.0,
0.0,84,895,271.8416383754315,0.0,0.0,
2022.0,365,319,333.91589599749943,0.0,0.0,
2194.0,857,145,4.63669189906733,0.0,0.0,
0.0,893,265,25.352387803875445,0.0,0.0,
1756.0,1,1,219.2652459034012,0.0,0.0,
1673.0,495,721,174.04102876443756,0.0,0.0,
