Fitness,X,Y,Rotation,relX,relY
2171.0,999,1,311.26582749585043,0.0,0.0,
556.0,1,1,245.82588352356282,0.0,0.0,
1152.0,920,945,100.48394490271619,0.0,0.0,
2011.0,867,436,148.98574037851415,0.0,0.0,
1347.0,927,447,280.42409486114826,0.0,0.0,
0.0,205,582,316.23243942389803,0.0,0.0,
2147.0,49,41,76.1334185150244,0.0,0.0,
222.0,999,999,56.35813924137028,0.0,0.0,
0.0,631,843,87.09049535564486,0.0,0.0,
1888.0,478,433,120.09663282033819,0.0,0.0,
875.0,155,959,328.4785043481626,0.0,0.0,
2151.0,307,889,118.36332315440296,0.0,0.0,
2046.0,553,361,102.02758183952176,0.0,0.0,
0.0,83,873,-164.2158709471429,0.0,0.0,
904.0,1,1,210.70276839603247,0.0,0.0,
2010.0,397,517,119.20979229862348,0.0,0.0,
1110.0,833,1,356.17170883511324,0.0,0.0,
1838.0,473,446,348.64026213218654,0.0,0.0,
2082.0,13,57,232.41628146691676,0.0,0.0,
2218.0,231,833,76.58444968657687,0.0,0.0,
1330.0,411,565,83.44528735286474,0.0,0.0,
2168.0,399,301,52.80306892362984,0.0,0.0,
1881.0,261,469,56.41520260718244,0.0,0.0,
1352.0,183,363,237.95822700203178,0.0,0.0,
1484.0,877,757,59.708593117504165,0.0,0.0,
1700.0,298,463,301.53278580994044,0.0,0.0,
630.0,999,999,50.295416884553674,0.0,0.0,
1605.0,79,474,155.1721360926456,0.0,0.0,
1446.0,941,579,274.16697623032894,0.0,0.0,
2378.0,665,421,18.560803675576153,0.0,0.0,
1397.0,1,999,154.03703602291648,0.0,0.0,
1709.0,471,941,53.66427942157986,0.0,0.0,
1862.0,303,771,190.37193978010703,0.0,0.0,
0.0,56,397,23.55055783933001,0.0,0.0,
0.0,640,81,314.38937710440683,0.0,0.0,
1778.0,67,733,157.74673887027802,0.0,0.0,
1050.0,585,226,49.269217503263064,0.0,0.0,
1977.0,289,855,326.851331838869,0.0,0.0,
2287.0,191,266,170.29752697705237,0.0,0.0,
2956.0,471,490,216.01516994763767,0.0,0.0,
1350.0,697,804,353.52631791152476,0.0,0.0,
1369.0,565,822,44.66299381102408,0.0,0.0,
1660.0,335,825,189.1043457611878,0.0,0.0,
2074.0,1,999,131.7718523441066,0.0,0.0,
832.0,157,521,294.4834059143955,0.0,0.0,
2182.0,113,215,239.44673146680407,0.0,0.0,
1913.0,677,601,337.8031623296504,0.0,0.0,
696.0,963,391,30.95428155999889,0.0,0.0,
1948.0,191,845,79.23155633505064,0.0,0.0,
1623.0,473,799,5.882424271219065,0.0,0.0,
1912.0,673,464,342.2003325981759,0.0,0.0,
2055.0,475,620,198.8926608704628,0.0,0.0,
1422.0,651,176,166.2163363884648,0.0,0.0,
1726.0,572,459,277.92898412596804,0.0,0.0,
1200.0,847,234,202.95361327175954,0.0,0.0,
1489.0,838,307,277.6512273900884,0.0,0.0,
1281.0,1,1,231.24536327732972,0.0,0.0,
1199.0,523,717,188.27790536457064,0.0,0.0,
2415.0,155,492,205.46844071145927,0.0,0.0,
1145.0,1,1,224.8157115452732,0.0,0.0,
1909.0,303,676,193.36791944537902,0.0,0.0,
0.0,146,141,35.170275462511434,0.0,0.0,
77.0,999,999,46.46819738578989,0.0,0.0,
0.0,152,389,240.07759892035438,0.0,0.0,
1066.0,411,955,240.12551135998012,0.0,0.0,
1773.0,759,420,136.82304360259735,0.0,0.0,
1373.0,948,797,98.15761177674125,0.0,0.0,
1902.0,135,871,149.90359462026504,0.0,0.0,
1868.0,435,489,117.6989791895312,0.0,0.0,
1674.0,691,762,174.7982316284947,0.0,0.0,
1528.0,85,435,264.54592010444077,0.0,0.0,
1222.0,83,192,185.24461564715068,0.0,0.0,
1721.0,1,1,218.12087924107448,0.0,0.0,
1527.0,917,22,346.175693958657,0.0,0.0,
1124.0,23,281,94.3877420314654,0.0,0.0,
1727.0,473,501,24.210165668050536,0.0,0.0,
1654.0,566,601,74.70314827062214,0.0,0.0,
1548.0,67,72,199.93507001787736,0.0,0.0,
2323.0,475,441,209.3973287284457,0.0,0.0,
1894.0,593,671,266.9225545577743,0.0,0.0,
2030.0,755,415,250.5858555811925,0.0,0.0,
1624.0,685,529,70.35537902890178,0.0,0.0,
1474.0,644,653,118.35470635940692,0.0,0.0,
2074.0,567,427,189.59927784551365,0.0,0.0,
1598.0,913,425,341.05121688534166,0.0,0.0,
1206.0,457,759,258.76894626898786,0.0,0.0,
0.0,272,992,151.0115778986659,0.0,0.0,
1383.0,789,482,357.29139110356505,0.0,0.0,
1067.0,999,1,329.54964243008874,0.0,0.0,
1333.0,992,973,74.09164133055458,0.0,0.0,
2215.0,669,421,126.43989965904393,0.0,0.0,
1473.0,239,131,198.79469980565136,0.0,0.0,
1063.0,613,948,3.5068818602271676,0.0,0.0,
1628.0,843,50,183.6247284514033,0.0,0.0,
1782.0,203,613,159.46713725421625,0.0,0.0,
2666.0,49,97,60.691001513055824,0.0,0.0,
2122.0,333,362,35.472623664751154,0.0,0.0,
108.0,1,1,197.86819142404033,0.0,0.0,
1506.0,3,530,174.29454918630358,0.0,0.0,
2362.0,993,69,359.03790614456057,0.0,0.0,
