Fitness
38531.0,
31316.0,
51552.0,
83196.0,
133076.0,
141181.0,
145949.0,
141501.0,
146038.0,
137741.0,
164225.0,
153449.0,
158803.0,
153370.0,
143759.0,
159993.0,
157733.0,
166565.0,
160622.0,
148646.0,
155201.0,
172500.0,
161710.0,
158766.0,
156779.0,
169523.0,
154254.0,
161977.0,
160073.0,
154869.0,
155344.0,
163006.0,
154125.0,
166419.0,
158542.0,
164263.0,
162420.0,
151779.0,
173132.0,
167684.0,
153823.0,
154576.0,
164188.0,
164553.0,
165955.0,
156170.0,
161802.0,
162575.0,
150511.0,
168456.0,
154628.0,
162643.0,
158176.0,
154097.0,
162049.0,
166251.0,
156916.0,
157325.0,
161561.0,
160006.0,
164501.0,
159103.0,
153390.0,
158662.0,
153642.0,
152449.0,
161827.0,
157683.0,
169708.0,
163680.0,
150342.0,
163435.0,
176535.0,
152884.0,
170034.0,
167775.0,
166455.0,
162841.0,
168021.0,
157668.0,
153916.0,
149610.0,
160284.0,
177338.0,
163763.0,
156686.0,
153701.0,
169638.0,
156257.0,
162431.0,
162015.0,
161450.0,
165628.0,
165250.0,
163080.0,
160600.0,
157470.0,
154438.0,
156703.0,
163292.0,
