Fitness,X,Y,Rotation,relX,relY
2180.0,352,511,300.1557122494623,1000000.0,1000000.0,
1975.0,127,253,60.44791397842539,1000000.0,1000000.0,
0.0,501,738,268.230677738053,1000000.0,1000000.0,
779.0,1,1,238.915233696879,1000000.0,1000000.0,
2067.0,736,870,49.30597329233626,1000000.0,1000000.0,
1538.0,503,181,68.42501197324407,1000000.0,1000000.0,
2274.0,638,721,114.18250872621235,1000000.0,1000000.0,
651.0,367,147,183.9853206456155,1000000.0,1000000.0,
2279.0,662,299,277.32864818819604,1000000.0,1000000.0,
1462.0,262,491,277.2034677124673,1000000.0,1000000.0,
0.0,576,756,75.60711133690415,1000000.0,1000000.0,
0.0,119,148,-63.414411919599104,1000000.0,1000000.0,
0.0,973,632,197.0830075618772,1000000.0,1000000.0,
1225.0,845,295,276.2075133440624,1000000.0,1000000.0,
0.0,237,914,90.7004344035476,1000000.0,1000000.0,
469.0,622,100,219.82082839811005,1000000.0,1000000.0,
1895.0,481,729,103.0386366327345,1000000.0,1000000.0,
0.0,114,496,274.54060675949717,1000000.0,1000000.0,
423.0,999,940,-213.08100558779017,1000000.0,1000000.0,
1565.0,999,1,307.56489167999075,1000000.0,1000000.0,
487.0,999,591,266.5031011445833,1000000.0,1000000.0,
400.0,1,1,224.8789600691556,1000000.0,1000000.0,
360.0,999,999,-214.6277797371921,1000000.0,1000000.0,
0.0,189,7,-42.14692436516475,1000000.0,1000000.0,
0.0,325,284,-281.42839525012016,1000000.0,1000000.0,
1451.0,218,341,109.78625042530751,1000000.0,1000000.0,
2517.0,913,971,235.67295108714825,1000000.0,1000000.0,
0.0,746,397,29.038971455341756,1000000.0,1000000.0,
2259.0,117,638,323.5591248314619,1000000.0,1000000.0,
1489.0,283,865,152.51155562441886,1000000.0,1000000.0,
962.0,801,101,335.97382335088855,1000000.0,1000000.0,
0.0,327,845,-258.34284401868615,1000000.0,1000000.0,
1836.0,294,511,302.39255974352403,1000000.0,1000000.0,
2366.0,487,475,215.00687925980162,1000000.0,1000000.0,
0.0,653,68,102.29287989125444,1000000.0,1000000.0,
0.0,529,898,-183.4192679894195,1000000.0,1000000.0,
2382.0,558,379,232.85108538267122,1000000.0,1000000.0,
0.0,487,62,-52.091697688224315,1000000.0,1000000.0,
18.0,617,941,148.55247311432612,1000000.0,1000000.0,
0.0,396,532,-12.64556806012314,1000000.0,1000000.0,
1854.0,324,531,265.35655469934653,1000000.0,1000000.0,
993.0,180,285,112.17017561022715,1000000.0,1000000.0,
1484.0,971,851,200.72547726878918,1000000.0,1000000.0,
1214.0,673,887,215.72118868291784,1000000.0,1000000.0,
2257.0,892,829,64.02339456577738,1000000.0,1000000.0,
709.0,595,993,37.27274160672516,1000000.0,1000000.0,
0.0,19,68,7.939623451344573,1000000.0,1000000.0,
0.0,789,228,70.60700674897068,1000000.0,1000000.0,
0.0,265,584,21.872946572614573,1000000.0,1000000.0,
