Fitness,X,Y,Rotation,relX,relY
0.0,933,647,205.68759737436602,0.0,0.0,
2131.0,997,541,9.213287284564672,0.0,0.0,
1270.0,217,695,253.08793719956316,0.0,0.0,
0.0,411,525,96.81992326331934,0.0,0.0,
1946.0,67,568,176.4853700463475,0.0,0.0,
1587.0,596,435,279.08049537584384,0.0,0.0,
1807.0,210,53,70.13706087479625,0.0,0.0,
0.0,371,223,170.92664862370123,0.0,0.0,
1460.0,978,739,46.76069439707783,0.0,0.0,
1364.0,107,753,169.64315409421874,0.0,0.0,
1865.0,37,257,18.97598755149977,0.0,0.0,
790.0,1,999,114.14217408592515,0.0,0.0,
2037.0,262,485,104.84463303572079,0.0,0.0,
1697.0,318,811,262.84484879615906,0.0,0.0,
1254.0,913,333,110.1017402678329,0.0,0.0,
773.0,999,999,62.377818724726694,0.0,0.0,
2020.0,219,686,186.96779354836434,0.0,0.0,
1507.0,975,822,189.68483327807917,0.0,0.0,
0.0,696,33,-156.27498609347344,0.0,0.0,
1807.0,903,159,149.99949074160338,0.0,0.0,
1559.0,470,367,245.63922008826808,0.0,0.0,
1929.0,639,109,85.31368675084053,0.0,0.0,
1404.0,510,561,95.40018333650801,0.0,0.0,
3108.0,514,519,228.82123777107887,0.0,0.0,
1820.0,7,611,184.35180305931283,0.0,0.0,
243.0,1,1,249.56950466058817,0.0,0.0,
979.0,1,999,139.12928931747217,0.0,0.0,
680.0,999,685,217.76099035612248,0.0,0.0,
1004.0,1,1,220.18983007829615,0.0,0.0,
1603.0,903,828,185.76833311124244,0.0,0.0,
1597.0,801,127,296.65630962663283,0.0,0.0,
1960.0,763,207,296.81228644613265,0.0,0.0,
1666.0,792,929,86.32867348931029,0.0,0.0,
2239.0,689,606,29.26186082289155,0.0,0.0,
2026.0,76,859,301.588281456718,0.0,0.0,
783.0,577,31,130.58786607635,0.0,0.0,
981.0,745,933,6.345553122539513,0.0,0.0,
2167.0,1,1,224.77151560452722,0.0,0.0,
1702.0,269,71,5.211728954511841,0.0,0.0,
2234.0,535,649,187.92706338121366,0.0,0.0,
935.0,739,160,203.42920915494636,0.0,0.0,
2110.0,186,367,233.8114339144086,0.0,0.0,
1569.0,327,90,195.64281548842519,0.0,0.0,
1952.0,156,761,87.03851911218885,0.0,0.0,
1753.0,585,776,30.02435099622363,0.0,0.0,
1498.0,376,31,288.46722594283693,0.0,0.0,
2216.0,641,563,20.095603260287135,0.0,0.0,
2331.0,446,619,243.22043953594454,0.0,0.0,
1576.0,170,647,270.5352074204959,0.0,0.0,
887.0,361,304,130.47405641025887,0.0,0.0,
1921.0,199,793,182.33268662089586,0.0,0.0,
2388.0,485,548,22.33749383978352,0.0,0.0,
2299.0,259,516,177.50539053356715,0.0,0.0,
1531.0,633,775,19.153031392077366,0.0,0.0,
0.0,120,993,221.21842644802197,0.0,0.0,
1049.0,771,117,172.93321831711592,0.0,0.0,
2413.0,983,904,208.94848387153615,0.0,0.0,
1481.0,933,805,354.4385086398099,0.0,0.0,
0.0,713,760,-130.26807407893102,0.0,0.0,
2009.0,169,651,356.68605576125424,0.0,0.0,
2025.0,322,387,302.9463432321286,0.0,0.0,
2110.0,979,174,147.64558413324295,0.0,0.0,
972.0,447,106,21.497078859752946,0.0,0.0,
616.0,999,999,51.84128395804805,0.0,0.0,
1225.0,381,888,0.6370238353788409,0.0,0.0,
1590.0,598,315,287.73803526234184,0.0,0.0,
1108.0,235,93,216.66719849053385,0.0,0.0,
406.0,999,1,299.92653109993984,0.0,0.0,
2484.0,425,613,59.380329333340796,0.0,0.0,
2089.0,675,793,62.45638710558552,0.0,0.0,
684.0,1,1,239.8549767179819,0.0,0.0,
0.0,70,49,-333.4788852235417,0.0,0.0,
1555.0,113,179,246.5972842866214,0.0,0.0,
1646.0,579,146,196.87329300189117,0.0,0.0,
1429.0,745,847,17.154232601010506,0.0,0.0,
1801.0,829,939,232.46887178604203,0.0,0.0,
0.0,4,500,228.81999376317765,0.0,0.0,
1399.0,977,189,94.00476245900921,0.0,0.0,
1540.0,567,734,179.46940231442477,0.0,0.0,
807.0,209,599,65.36561893613833,0.0,0.0,
1428.0,924,59,299.37640897935665,0.0,0.0,
1494.0,160,616,307.38684242073606,0.0,0.0,
1366.0,495,269,170.26938404043995,0.0,0.0,
2342.0,562,400,312.942897110703,0.0,0.0,
1082.0,641,285,53.35061922614591,0.0,0.0,
2341.0,456,961,74.99927186543732,0.0,0.0,
2107.0,843,534,181.42981460831174,0.0,0.0,
2086.0,97,632,20.59922454502083,0.0,0.0,
984.0,903,773,233.55176844451836,0.0,0.0,
874.0,927,184,17.32773835035158,0.0,0.0,
1775.0,397,96,7.799642191195289,0.0,0.0,
275.0,999,1,299.595226116053,0.0,0.0,
1414.0,1,999,138.66790734841447,0.0,0.0,
1713.0,735,326,154.95237432626868,0.0,0.0,
1617.0,225,887,327.8866093128096,0.0,0.0,
2028.0,1,1,231.5105224023265,0.0,0.0,
2324.0,37,981,327.7781950635591,0.0,0.0,
2367.0,251,632,179.64685333629006,0.0,0.0,
1689.0,409,446,6.866999441783946,0.0,0.0,
1851.0,935,296,161.60562064244868,0.0,0.0,
